country,code,year,mean_age_of_women_at_first_marriage
Australia,AUS,1990,24.3
Australia,AUS,1991,24.5
Australia,AUS,1992,24.7
Australia,AUS,1993,24.8
Australia,AUS,1994,25.1
Australia,AUS,1995,25.3
Australia,AUS,1996,25.7
Australia,AUS,1997,25.9
Australia,AUS,1998,26.2
Australia,AUS,1999,26.4
Australia,AUS,2000,26.7
Australia,AUS,2001,26.9
Australia,AUS,2002,27.1
Australia,AUS,2003,27.3
Australia,AUS,2004,27.5
Australia,AUS,2005,27.6
Australia,AUS,2006,27.6
Australia,AUS,2007,27.6
Australia,AUS,2008,27.7
Australia,AUS,2009,27.7
Australia,AUS,2010,27.9
Australia,AUS,2011,28.0
Australia,AUS,2012,28.1
Australia,AUS,2013,28.3
Australia,AUS,2014,28.4
Australia,AUS,2015,28.5
Australia,AUS,2016,28.7
Australia,AUS,2017,28.8
Australia,AUS,2018,29.2
Australia,AUS,2019,29.3
Australia,AUS,2020,29.2
Austria,AUT,1990,25.2
Austria,AUT,1991,25.4
Austria,AUT,1992,25.6
Austria,AUT,1993,25.8
Austria,AUT,1994,26.1
Austria,AUT,1995,26.3
Austria,AUT,1996,26.5
Austria,AUT,1997,26.8
Austria,AUT,1998,26.9
Austria,AUT,1999,27.3
Austria,AUT,2000,27.4
Austria,AUT,2001,27.5
Austria,AUT,2002,27.7
Austria,AUT,2003,27.9
Austria,AUT,2004,28.2
Austria,AUT,2005,28.6
Austria,AUT,2006,29.1
Austria,AUT,2007,29.3
Austria,AUT,2008,29.5
Austria,AUT,2009,29.9
Austria,AUT,2011,30.3
Austria,AUT,2012,30.6
Austria,AUT,2017,31.5
Austria,AUT,2018,31.7
Austria,AUT,2019,32.0
Belgium,BEL,1990,24.4
Belgium,BEL,1991,24.0
Belgium,BEL,1992,24.8
Belgium,BEL,1993,25.1
Belgium,BEL,1994,25.4
Belgium,BEL,1995,25.6
Belgium,BEL,1996,25.7
Belgium,BEL,1997,25.9
Belgium,BEL,1998,26.0
Belgium,BEL,1999,26.3
Belgium,BEL,2000,26.9
Belgium,BEL,2001,26.7
Belgium,BEL,2002,27.0
Belgium,BEL,2003,27.5
Belgium,BEL,2004,27.9
Belgium,BEL,2005,28.1
Belgium,BEL,2006,28.4
Belgium,BEL,2007,28.6
Belgium,BEL,2008,28.9
Belgium,BEL,2009,29.3
Belgium,BEL,2010,29.4
Belgium,BEL,2017,31.2
Belgium,BEL,2020,32.0
Bulgaria,BGR,1990,21.5
Bulgaria,BGR,1991,21.5
Bulgaria,BGR,1992,21.7
Bulgaria,BGR,1993,22.0
Bulgaria,BGR,1994,22.4
Bulgaria,BGR,1995,22.7
Bulgaria,BGR,1996,23.0
Bulgaria,BGR,1997,23.3
Bulgaria,BGR,1998,23.4
Bulgaria,BGR,1999,23.7
Bulgaria,BGR,2000,24.7
Bulgaria,BGR,2001,24.7
Bulgaria,BGR,2002,24.6
Bulgaria,BGR,2003,25.0
Bulgaria,BGR,2004,25.3
Bulgaria,BGR,2005,25.6
Bulgaria,BGR,2006,25.7
Bulgaria,BGR,2007,25.8
Bulgaria,BGR,2008,25.9
Bulgaria,BGR,2009,26.2
Bulgaria,BGR,2010,26.6
Bulgaria,BGR,2011,26.6
Bulgaria,BGR,2013,26.7
Bulgaria,BGR,2014,26.9
Bulgaria,BGR,2015,27.0
Bulgaria,BGR,2016,27.1
Bulgaria,BGR,2017,27.3
Bulgaria,BGR,2018,27.5
Bulgaria,BGR,2019,27.8
Bulgaria,BGR,2020,28.1
Canada,CAN,1990,25.54
Canada,CAN,1991,25.76
Canada,CAN,1992,26.02
Canada,CAN,1993,26.2
Canada,CAN,1994,26.26
Canada,CAN,1995,26.47
Canada,CAN,1996,26.68
Canada,CAN,1997,26.85
Canada,CAN,1998,27.0
Canada,CAN,1999,27.21
Canada,CAN,2000,27.5
Canada,CAN,2001,27.7
Canada,CAN,2002,27.8
Canada,CAN,2003,28.2
Canada,CAN,2004,28.5
Canada,CAN,2005,28.7
Canada,CAN,2006,28.9
Canada,CAN,2007,29.0
Canada,CAN,2008,29.1
Chile,CHL,1997,24.861084
Chile,CHL,1998,25.180256
Chile,CHL,1999,25.487587
Chile,CHL,2000,25.63705
Chile,CHL,2001,25.942293
Chile,CHL,2002,26.318913
Chile,CHL,2003,26.575056
Chile,CHL,2004,26.804842
Chile,CHL,2005,27.306484
Chile,CHL,2006,27.38927
Chile,CHL,2007,27.740593
Chile,CHL,2008,28.08799
Chile,CHL,2009,29.004953
Chile,CHL,2010,29.9
Chile,CHL,2011,30.2
Chile,CHL,2012,30.0
Chile,CHL,2013,28.5
Chile,CHL,2014,29.7
Chile,CHL,2015,30.9
Chile,CHL,2016,31.5
Croatia,HRV,2001,25.4
Croatia,HRV,2002,25.6
Croatia,HRV,2003,25.8
Croatia,HRV,2004,26.0
Croatia,HRV,2005,26.2
Croatia,HRV,2006,26.3
Croatia,HRV,2007,26.6
Croatia,HRV,2008,26.6
Croatia,HRV,2009,26.9
Croatia,HRV,2010,27.1
Croatia,HRV,2011,27.3
Croatia,HRV,2012,27.3
Croatia,HRV,2013,27.6
Croatia,HRV,2014,27.8
Croatia,HRV,2015,27.9
Croatia,HRV,2016,28.0
Croatia,HRV,2017,28.2
Croatia,HRV,2018,28.3
Croatia,HRV,2019,28.5
Croatia,HRV,2020,28.7
Cyprus,CYP,1990,24.9
Cyprus,CYP,1991,24.6
Cyprus,CYP,1992,25.4
Cyprus,CYP,1993,25.2
Cyprus,CYP,1994,25.8
Cyprus,CYP,1995,25.7
Cyprus,CYP,1996,26.0
Cyprus,CYP,1997,26.2
Cyprus,CYP,1998,26.4
Cyprus,CYP,1999,26.4
Cyprus,CYP,2000,26.9
Cyprus,CYP,2001,27.2
Cyprus,CYP,2002,27.3
Cyprus,CYP,2003,27.8
Cyprus,CYP,2004,27.3
Cyprus,CYP,2005,27.3
Cyprus,CYP,2006,27.7
Czechia,CZE,1990,21.6
Czechia,CZE,1991,21.6
Czechia,CZE,1992,21.9
Czechia,CZE,1993,22.1
Czechia,CZE,1994,22.4
Czechia,CZE,1995,22.8
Czechia,CZE,1996,23.1
Czechia,CZE,1997,23.6
Czechia,CZE,1998,23.8
Czechia,CZE,1999,24.2
Czechia,CZE,2000,24.6
Czechia,CZE,2001,25.0
Czechia,CZE,2002,25.4
Czechia,CZE,2003,25.8
Czechia,CZE,2004,26.1
Czechia,CZE,2005,26.4
Czechia,CZE,2006,26.8
Czechia,CZE,2007,27.0
Czechia,CZE,2008,27.2
Czechia,CZE,2009,27.6
Czechia,CZE,2010,27.9
Czechia,CZE,2011,28.1
Czechia,CZE,2012,28.3
Czechia,CZE,2013,28.5
Czechia,CZE,2014,28.7
Czechia,CZE,2015,28.8
Czechia,CZE,2016,29.0
Czechia,CZE,2017,29.1
Czechia,CZE,2018,29.2
Czechia,CZE,2019,29.4
Czechia,CZE,2020,29.7
Denmark,DNK,1990,27.8
Denmark,DNK,1991,28.0
Denmark,DNK,1992,28.3
Denmark,DNK,1993,28.8
Denmark,DNK,1994,29.2
Denmark,DNK,1995,29.2
Denmark,DNK,1996,29.9
Denmark,DNK,1997,30.1
Denmark,DNK,1998,29.8
Denmark,DNK,1999,30.0
Denmark,DNK,2000,29.9
Denmark,DNK,2001,29.9
Denmark,DNK,2002,30.1
Denmark,DNK,2003,30.6
Denmark,DNK,2004,30.9
Denmark,DNK,2005,30.9
Denmark,DNK,2006,30.9
Denmark,DNK,2007,31.3
Denmark,DNK,2008,31.4
Denmark,DNK,2009,31.1
Denmark,DNK,2010,31.2
Denmark,DNK,2011,31.4
Denmark,DNK,2012,31.8
Denmark,DNK,2013,31.9
Denmark,DNK,2014,31.9
Denmark,DNK,2015,31.9
Denmark,DNK,2016,32.2
Denmark,DNK,2017,32.4
Denmark,DNK,2018,32.5
Denmark,DNK,2019,32.8
Denmark,DNK,2020,33.0
Estonia,EST,1992,23.0
Estonia,EST,1993,23.6
Estonia,EST,1994,24.1
Estonia,EST,1995,24.2
Estonia,EST,1996,24.2
Estonia,EST,1997,24.4
Estonia,EST,1998,24.8
Estonia,EST,1999,25.0
Estonia,EST,2000,25.2
Estonia,EST,2001,25.5
Estonia,EST,2002,25.8
Estonia,EST,2003,25.9
Estonia,EST,2004,26.2
Estonia,EST,2005,26.4
Estonia,EST,2006,26.6
Estonia,EST,2007,27.1
Estonia,EST,2008,27.4
Estonia,EST,2009,27.8
Estonia,EST,2010,28.0
Estonia,EST,2011,28.4
Estonia,EST,2012,28.9
Estonia,EST,2013,28.8
Estonia,EST,2014,29.0
Estonia,EST,2015,29.3
Estonia,EST,2016,29.7
Estonia,EST,2017,29.9
Estonia,EST,2018,29.9
Finland,FIN,1990,26.3
Finland,FIN,1991,26.3
Finland,FIN,1992,26.6
Finland,FIN,1993,26.8
Finland,FIN,1994,26.9
Finland,FIN,1995,27.2
Finland,FIN,1997,27.6
Finland,FIN,1998,27.8
Finland,FIN,1999,28.0
Finland,FIN,2000,28.3
Finland,FIN,2001,28.4
Finland,FIN,2002,28.8
Finland,FIN,2003,29.0
Finland,FIN,2004,29.5
Finland,FIN,2005,29.4
Finland,FIN,2006,29.5
Finland,FIN,2007,29.7
Finland,FIN,2008,30.0
Finland,FIN,2009,30.0
Finland,FIN,2010,30.2
Finland,FIN,2011,30.4
Finland,FIN,2012,30.7
Finland,FIN,2013,30.4
Finland,FIN,2014,30.6
Finland,FIN,2015,31.0
Finland,FIN,2016,31.3
Finland,FIN,2017,31.6
Finland,FIN,2018,31.7
Finland,FIN,2019,31.9
France,FRA,1998,28.1
France,FRA,1999,28.2
France,FRA,2000,28.4
France,FRA,2001,28.5
France,FRA,2002,28.7
France,FRA,2003,28.9
France,FRA,2004,29.2
France,FRA,2005,29.6
France,FRA,2006,29.8
France,FRA,2007,30.0
France,FRA,2008,30.2
France,FRA,2009,30.4
France,FRA,2010,30.7
France,FRA,2011,30.8
France,FRA,2013,31.7
France,FRA,2014,32.1
France,FRA,2015,32.2
France,FRA,2016,32.5
France,FRA,2017,32.8
France,FRA,2018,33.1
Germany,DEU,1990,25.5
Germany,DEU,1991,25.9
Germany,DEU,1992,26.1
Germany,DEU,1993,26.4
Germany,DEU,1994,26.6
Germany,DEU,1995,26.7
Germany,DEU,1996,26.9
Germany,DEU,1997,27.0
Germany,DEU,1998,27.2
Germany,DEU,1999,27.5
Germany,DEU,2000,27.7
Germany,DEU,2001,28.0
Germany,DEU,2003,28.4
Germany,DEU,2004,28.8
Germany,DEU,2005,29.1
Germany,DEU,2006,29.1
Germany,DEU,2007,29.3
Germany,DEU,2008,29.6
Germany,DEU,2009,29.8
Germany,DEU,2011,30.2
Germany,DEU,2013,30.5
Germany,DEU,2014,30.7
Germany,DEU,2015,30.9
Germany,DEU,2016,31.1
Germany,DEU,2017,31.2
Greece,GRC,1990,24.9
Greece,GRC,1991,25.2
Greece,GRC,1992,25.5
Greece,GRC,1993,25.5
Greece,GRC,1994,25.8
Greece,GRC,1995,26.0
Greece,GRC,1996,26.3
Greece,GRC,1997,26.6
Greece,GRC,1998,26.8
Greece,GRC,1999,26.9
Greece,GRC,2000,27.2
Greece,GRC,2001,27.3
Greece,GRC,2002,27.6
Greece,GRC,2003,27.9
Greece,GRC,2004,28.0
Greece,GRC,2005,28.3
Greece,GRC,2006,28.6
Greece,GRC,2007,28.8
Greece,GRC,2008,28.9
Greece,GRC,2009,29.0
Greece,GRC,2010,29.3
Greece,GRC,2011,29.4
Greece,GRC,2012,29.5
Greece,GRC,2013,29.7
Greece,GRC,2014,29.9
Greece,GRC,2015,30.1
Greece,GRC,2016,30.1
Greece,GRC,2017,30.3
Greece,GRC,2018,30.3
Greece,GRC,2019,30.7
Greece,GRC,2020,30.7
Hungary,HUN,1990,22.0
Hungary,HUN,1991,22.1
Hungary,HUN,1992,22.3
Hungary,HUN,1993,22.5
Hungary,HUN,1994,22.8
Hungary,HUN,1995,23.1
Hungary,HUN,1996,23.4
Hungary,HUN,1997,23.7
Hungary,HUN,1998,24.1
Hungary,HUN,1999,24.4
Hungary,HUN,2000,24.8
Hungary,HUN,2001,25.2
Hungary,HUN,2002,25.7
Hungary,HUN,2003,26.0
Hungary,HUN,2004,26.4
Hungary,HUN,2005,26.7
Hungary,HUN,2006,27.0
Hungary,HUN,2007,27.2
Hungary,HUN,2008,27.5
Hungary,HUN,2009,28.0
Hungary,HUN,2010,28.3
Hungary,HUN,2011,28.6
Hungary,HUN,2013,29.0
Hungary,HUN,2014,29.3
Hungary,HUN,2015,29.2
Hungary,HUN,2016,29.2
Hungary,HUN,2017,29.4
Hungary,HUN,2018,29.6
Hungary,HUN,2019,29.6
Hungary,HUN,2020,29.5
Iceland,ISL,1990,26.9
Iceland,ISL,1991,27.2
Iceland,ISL,1992,27.9
Iceland,ISL,1993,28.0
Iceland,ISL,1994,28.8
Iceland,ISL,1995,28.8
Iceland,ISL,1996,29.2
Iceland,ISL,1997,30.6
Iceland,ISL,1998,30.1
Iceland,ISL,1999,30.2
Iceland,ISL,2000,30.6
Iceland,ISL,2001,30.2
Iceland,ISL,2002,30.8
Iceland,ISL,2003,31.0
Iceland,ISL,2004,31.4
Iceland,ISL,2005,31.5
Iceland,ISL,2006,31.8
Iceland,ISL,2007,32.1
Iceland,ISL,2008,32.4
Iceland,ISL,2009,32.1
Iceland,ISL,2010,32.4
Iceland,ISL,2011,32.4
Ireland,IRL,1990,26.6
Ireland,IRL,1991,26.9
Ireland,IRL,1992,27.1
Ireland,IRL,1993,27.5
Ireland,IRL,1994,27.8
Ireland,IRL,1995,28.1
Ireland,IRL,1996,28.5
Ireland,IRL,2005,30.5
Ireland,IRL,2006,30.7
Ireland,IRL,2007,30.9
Ireland,IRL,2009,31.2
Ireland,IRL,2010,31.3
Ireland,IRL,2013,31.8
Ireland,IRL,2014,30.7
Ireland,IRL,2015,32.0
Ireland,IRL,2016,31.9
Israel,ISR,2002,24.2
Israel,ISR,2003,24.3
Israel,ISR,2004,24.5
Israel,ISR,2005,24.6
Israel,ISR,2006,24.6
Israel,ISR,2007,24.8
Israel,ISR,2008,24.7
Israel,ISR,2009,24.8
Israel,ISR,2010,24.8
Israel,ISR,2011,25.0
Israel,ISR,2012,25.0
Israel,ISR,2013,25.1
Israel,ISR,2014,25.0
Israel,ISR,2015,25.2
Israel,ISR,2016,25.1
Israel,ISR,2017,25.0
Israel,ISR,2018,24.9
Israel,ISR,2019,24.9
Italy,ITA,1990,25.9
Italy,ITA,1991,26.0
Italy,ITA,1992,26.2
Italy,ITA,1993,26.4
Italy,ITA,1994,26.6
Italy,ITA,1995,26.9
Italy,ITA,1996,27.1
Italy,ITA,1997,27.3
Italy,ITA,1998,27.0
Italy,ITA,1999,27.2
Italy,ITA,2000,27.8
Italy,ITA,2001,28.1
Italy,ITA,2002,28.4
Italy,ITA,2003,28.6
Italy,ITA,2004,28.8
Italy,ITA,2005,29.1
Italy,ITA,2006,29.3
Italy,ITA,2007,29.6
Italy,ITA,2008,29.8
Italy,ITA,2009,30.0
Italy,ITA,2010,30.3
Italy,ITA,2011,30.5
Italy,ITA,2013,31.1
Italy,ITA,2014,31.3
Italy,ITA,2016,31.9
Italy,ITA,2017,32.2
Italy,ITA,2018,32.4
Italy,ITA,2019,32.7
Italy,ITA,2020,33.6
Japan,JPN,1990,25.9
Japan,JPN,1991,25.9
Japan,JPN,1992,26.0
Japan,JPN,1993,26.1
Japan,JPN,1994,26.2
Japan,JPN,1995,26.3
Japan,JPN,1996,26.4
Japan,JPN,1997,26.6
Japan,JPN,1998,26.7
Japan,JPN,1999,26.8
Japan,JPN,2000,27.0
Japan,JPN,2001,27.2
Japan,JPN,2002,27.4
Japan,JPN,2003,27.6
Japan,JPN,2004,27.8
Japan,JPN,2005,28.0
Japan,JPN,2006,28.2
Japan,JPN,2007,28.3
Japan,JPN,2008,28.5
Japan,JPN,2009,28.6
Japan,JPN,2010,28.8
Japan,JPN,2011,29.0
Japan,JPN,2012,29.2
Japan,JPN,2013,29.3
Japan,JPN,2014,29.4
Japan,JPN,2015,29.4
Japan,JPN,2016,29.4
Japan,JPN,2017,29.4
Japan,JPN,2018,29.4
Japan,JPN,2019,29.6
Japan,JPN,2020,29.4
Latvia,LVA,2002,25.0
Latvia,LVA,2003,25.1
Latvia,LVA,2004,25.3
Latvia,LVA,2005,25.8
Latvia,LVA,2006,26.1
Latvia,LVA,2007,26.2
Latvia,LVA,2008,26.5
Latvia,LVA,2009,26.9
Latvia,LVA,2010,27.1
Latvia,LVA,2011,27.3
Latvia,LVA,2012,27.5
Latvia,LVA,2013,27.9
Latvia,LVA,2014,28.2
Latvia,LVA,2015,28.5
Latvia,LVA,2016,28.8
Latvia,LVA,2017,28.9
Latvia,LVA,2018,29.2
Latvia,LVA,2019,29.6
Latvia,LVA,2020,29.8
Lithuania,LTU,1990,22.7
Lithuania,LTU,1991,22.5
