country,avg_size_all,couple_total (%),couple_with_children (%),couple_without_children (%),single_parent_total (%),single_person (%),other_types (%)
Australia,2.5275801827131006,55.926052115782944,29.904701145228884,26.021350970554057,10.37354925575754,25.12415874982315,8.57612330511371
Austria,2.2,48.92737273508971,21.129492751914853,27.797879983174862,5.628256302912014,38.33731420694173,7.107056755056537
Belgium,2.2,52.21942882285153,23.979842254782906,28.239586568068624,7.4231069501770675,35.5023035948151,4.855160632156293
Bulgaria,2.2,40.30305948826607,16.3504097416764,23.952649746589675,4.603050973790769,35.80958004095323,19.284309496989923
Canada,2.4253026498194634,50.9194405881055,25.30081390912377,25.61862667898173,8.715567084330706,29.34796142184913,11.017030905714655
Costa Rica,3.462513167138195,52.441872591414096,38.147069356764575,14.294803234649525,10.548100577130931,11.270908769011005,25.739118062443968
Croatia,2.6,51.50887532742574,24.776444853146074,26.732360809229228,5.422309535752104,27.80158000334392,15.267513793679989
Cyprus,2.5,56.92086290728218,27.42245570893645,29.49812775945901,6.165260157603532,24.49086234840441,12.426367853350474
Czechia,2.3,47.025111949085264,21.70380813237465,25.32130381671061,7.154101947321727,39.15039664965803,6.670389453934984
Denmark,1.9,48.59697982817776,20.40873446610072,28.18813295710139,6.308204701450511,37.57421070162811,7.520454895442764
EU average,2.262962962962963,47.97451841442698,22.0906252989661,25.8838768872326,6.70764756407761,34.00138284800714,11.316719822957422
Estonia,1.8,46.19971334716151,25.4647425910924,20.73497075606912,6.828569139418327,36.99156955782465,9.980147955595516
Finland,1.9,45.63784029956482,17.056363583789956,28.581476715774865,5.4277690227998905,45.33596223632657,3.598356152500469
France,2.1,49.72711406708301,22.188117606312165,27.53899646077084,7.676366174926671,37.78405019860812,4.812469559382205
Germany,2.0,45.78152321692019,17.888932794490035,27.89260298124056,5.411382923956302,43.13966693231063,5.66742692681288
Greece,2.6,52.13846866181368,24.02723542313049,28.11123323868318,4.66270093152921,32.34761610415918,10.851375874044365
Hungary,2.3,45.25398130699179,20.432837864033047,24.821143442958743,7.073477071388747,34.41937066472689,13.253170956892571
Iceland,2.7019312337121413,45.19484291053046,25.4216692523443,19.77317365818616,7.354278595938831,29.16185832524513,18.2890201682856
Ireland,2.4,53.02712062655892,29.44910954524724,23.57801108131169,6.9256561389113775,23.135620590552296,16.9116026439774
Italy,2.2,46.70412541077324,20.90632227274884,25.7978031380244,7.274459279304375,36.6380649614826,9.383350348439787
Japan,2.2109883809425983,45.07324833920951,15.668254179713903,29.4049941594956,2.503513646516398,37.96977177018868,14.453466244085424
Korea,2.214023838365131,43.48048883625986,26.248858455142667,17.231630381117192,9.125676534368122,35.4685768117095,11.925257817662526
Latvia,2.1,27.800585372477794,12.20540414707544,15.595181225402351,13.43652927953597,41.0838605484654,17.67902479952084
Lithuania,1.7,50.08919167983149,23.74119602422328,26.347995655608216,7.17902514481306,35.155838599262765,7.57594457609268
Luxembourg,2.3,53.059577460287024,26.859398472208905,26.200178988078115,6.6317480103557385,28.869818135327773,11.438856394029468
Malta,2.5,46.92082655280007,21.114001047795224,25.806825505004845,5.6808119022119605,32.51225132249375,14.88981923214228
Mexico,3.56,50.35735175634647,39.01616318978192,11.341188566564552,11.216617582127462,12.464293273673238,25.961737387852832
Netherlands,2.0,53.60123767893923,23.00751058968156,30.59372708925768,6.098420788212213,38.50486663484779,1.7954748980007689
New Zealand,2.607407806789788,57.32812521954166,29.253136811341697,28.074988408199967,10.387306627699484,22.79439659411839,9.490171558640462
Norway,2.0,47.042061528036726,22.995524188994537,24.04653733904219,6.310318933730655,42.13662021782677,4.510999320405854
Poland,2.3,48.32108894111276,23.920365853707384,24.40072308740537,5.969036061040241,23.43550634744326,22.27435262808144
Portugal,2.4,57.1738518462817,25.76520282972484,31.40864901655686,7.221597186471462,24.77337232013913,10.831178647107707
Romania,2.5,45.66102647779473,20.7336772627916,24.92734921500313,6.503112734119855,33.62588221589986,14.20997857218556
Slovak Republic,3.1,37.15395773110578,16.994268134915476,20.15968959619031,6.230566233165999,31.4042966291764,25.211179406551825
Slovenia,2.4,45.4139537696765,20.97182774238121,24.44212602729529,6.932338662591215,33.99710624321049,13.656601324521796
Spain,2.5,50.87297887295493,25.45829995140573,25.414689709487824,8.572360341099516,26.97613594701353,13.578514050993398
Sweden,2.1,49.27214281122088,22.490881426397788,26.78126138482309,6.666266635235625,39.24023316117695,4.821357392366544
Switzerland,2.2140802815759684,53.76768192594362,24.04654984284864,29.72102979598068,4.6982261624355175,36.879491203436025,4.654600708184836
TÃ¼rkiye,3.2,54.37940313305658,40.83922306159697,13.54018007145961,10.064811718261227,18.8773451447548,16.67844000392739
United Kingdom,2.3,53.71777792871729,20.28527709963887,33.43247944730101,7.480699916803505,30.81260589770715,7.988916256772054
United States,2.51,53.18549368313131,19.8462673708172,33.33922631231411,6.797399067227115,27.61197225179664,12.405134997844932
