STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COU,Country,SEX,Sex,IND,Indicator,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,LVA,Latvia,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,39.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,GRC,Greece,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,11.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,CHL,Chile,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,74.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,NLD,Netherlands,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,51.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,LTU,Lithuania,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,26.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,CAN,Canada,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,33.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,PRT,Portugal,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,55.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,ITA,Italy,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,34,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,IRL,Ireland,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,37.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,DEU,Germany,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,33.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,CZE,Czechia,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,48.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,MEX,Mexico,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,69.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,FRA,France,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,60.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,CHE,Switzerland,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,25.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,LUX,Luxembourg,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,39.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,POL,Poland,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,26.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,SVN,Slovenia,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,57.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,TUR,Türkiye,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,2.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,BEL,Belgium,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,52.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,KOR,Korea,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,2.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,FIN,Finland,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,44.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,ESP,Spain,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,47.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,USA,United States,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,39.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,GBR,United Kingdom,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,48.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,JPN,Japan,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,2.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,AUT,Austria,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,41.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,HUN,Hungary,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,43.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,DNK,Denmark,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,54.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,AUS,Australia,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,35.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,LVA,Latvia,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,38.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,GRC,Greece,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,12.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,CHL,Chile,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,75.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,NLD,Netherlands,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,52.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,LTU,Lithuania,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,26.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,CAN,Canada,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,33.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,PRT,Portugal,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,56.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,ITA,Italy,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,35.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,IRL,Ireland,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,38.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,DEU,Germany,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,33.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,CZE,Czechia,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,48.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,MEX,Mexico,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,70.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,FRA,France,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,61,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,CHE,Switzerland,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,26.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,LUX,Luxembourg,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,40.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,POL,Poland,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,25.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,SVN,Slovenia,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,57.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,TUR,Türkiye,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,2.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,KOR,Korea,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,2.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,FIN,Finland,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,45.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,ESP,Spain,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,48.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,USA,United States,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,GBR,United Kingdom,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,48.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,JPN,Japan,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,2.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,AUT,Austria,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,40.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,HUN,Hungary,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,38.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,DNK,Denmark,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,54.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,AUS,Australia,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2019,,35.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,LVA,Latvia,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,39.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,GRC,Greece,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,13.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,NLD,Netherlands,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,53.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,LTU,Lithuania,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,27,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,CAN,Canada,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,32.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,PRT,Portugal,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,57.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,ITA,Italy,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,33.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,DEU,Germany,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,33.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,CZE,Czechia,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,48.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,MEX,Mexico,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,70.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,FRA,France,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,62.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,CHE,Switzerland,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,27.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,LUX,Luxembourg,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,41.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,POL,Poland,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,26.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,SVN,Slovenia,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,56.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,TUR,Türkiye,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,2.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,KOR,Korea,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,2.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,FIN,Finland,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,46.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,ESP,Spain,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,47.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,USA,United States,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,40.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,GBR,United Kingdom,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,49,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,JPN,Japan,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,2.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,AUT,Austria,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,41.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,HUN,Hungary,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,30.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,DNK,Denmark,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,54.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,AUS,Australia,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2020,,36.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,KOR,Korea,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2021,,3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,GBR,United Kingdom,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2021,,51.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,LUX,Luxembourg,TOTAL,Total,FAM1,Total fertility rate,2018,,1.38,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,LUX,Luxembourg,TOTAL,Total,FAM1,Total fertility rate,2019,,1.34,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,LUX,Luxembourg,TOTAL,Total,FAM1,Total fertility rate,2020,,1.36,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,LUX,Luxembourg,TOTAL,Total,FAM1,Total fertility rate,2021,,1.38,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,NLD,Netherlands,TOTAL,Total,FAM1,Total fertility rate,2018,,1.59,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,NLD,Netherlands,TOTAL,Total,FAM1,Total fertility rate,2019,,1.57,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,NLD,Netherlands,TOTAL,Total,FAM1,Total fertility rate,2020,,1.54,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,NLD,Netherlands,TOTAL,Total,FAM1,Total fertility rate,2021,,1.62,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,GRC,Greece,TOTAL,Total,FAM1,Total fertility rate,2018,,1.35,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,GRC,Greece,TOTAL,Total,FAM1,Total fertility rate,2019,,1.34,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,GRC,Greece,TOTAL,Total,FAM1,Total fertility rate,2020,,1.39,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,GRC,Greece,TOTAL,Total,FAM1,Total fertility rate,2021,,1.43,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,LVA,Latvia,TOTAL,Total,FAM1,Total fertility rate,2018,,1.6,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,LVA,Latvia,TOTAL,Total,FAM1,Total fertility rate,2019,,1.61,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,LVA,Latvia,TOTAL,Total,FAM1,Total fertility rate,2020,,1.55,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,LVA,Latvia,TOTAL,Total,FAM1,Total fertility rate,2021,,1.57,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,SVN,Slovenia,TOTAL,Total,FAM1,Total fertility rate,2018,,1.6,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,SVN,Slovenia,TOTAL,Total,FAM1,Total fertility rate,2019,,1.61,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,SVN,Slovenia,TOTAL,Total,FAM1,Total fertility rate,2020,,1.59,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,SVN,Slovenia,TOTAL,Total,FAM1,Total fertility rate,2021,,1.64,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,FRA,France,TOTAL,Total,FAM1,Total fertility rate,2018,,1.84,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,FRA,France,TOTAL,Total,FAM1,Total fertility rate,2019,,1.83,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,FRA,France,TOTAL,Total,FAM1,Total fertility rate,2020,,1.79,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,FRA,France,TOTAL,Total,FAM1,Total fertility rate,2021,,1.8,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,POL,Poland,TOTAL,Total,FAM1,Total fertility rate,2018,,1.44,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,POL,Poland,TOTAL,Total,FAM1,Total fertility rate,2019,,1.42,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,POL,Poland,TOTAL,Total,FAM1,Total fertility rate,2020,,1.39,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,POL,Poland,TOTAL,Total,FAM1,Total fertility rate,2021,,1.33,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,TUR,Türkiye,TOTAL,Total,FAM1,Total fertility rate,2018,,1.99,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,TUR,Türkiye,TOTAL,Total,FAM1,Total fertility rate,2019,,1.88,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,TUR,Türkiye,TOTAL,Total,FAM1,Total fertility rate,2020,,1.76,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,TUR,Türkiye,TOTAL,Total,FAM1,Total fertility rate,2021,,1.7,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,ESP,Spain,TOTAL,Total,FAM1,Total fertility rate,2018,,1.26,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,ESP,Spain,TOTAL,Total,FAM1,Total fertility rate,2019,,1.23,,A,,CHLD,Children,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,ESP,Spain,TOTAL,Total,FAM1,Total fertility rate,2020,,1.19,,A,,CHLD,Children,0,Units,,
