country,Married_living with two parents,Cohabiting_living with two parents,Mother_living with one parent,Father_living with one parent,Other,Married_living with two parents,Cohabiting_living with two parents,Mother_living with one parent,Father_living with one parent,Other
Austria,"67,12","3,47","27,10","1,69","0,62","70,93","13,68","13,20","1,44","0,75"
Belgium,"28,24","15,59","47,27","6,46","2,45","58,17","21,64","15,09","4,32","0,78"
Czech Republic,"29,54","29,58","37,56","2,38","0,94","71,82","17,85","8,84","0,91","0,58"
Estonia,"41,98","26,25","30,19","0,33","1,25","54,47","31,95","12,26","0,91","0,41"
Finland,"32,93","13,30","38,92","12,61","2,24","70,11","17,91","9,89","1,71","0,37"
France,"32,00","15,66","43,50","6,71","2,13","52,67","27,51","14,56","4,82","0,44"
Greece,"85,64","2,10","10,05","1,38","0,83","92,23","0,44","6,07","0,89","0,37"
Hungary,"40,02","21,87","32,78","2,99","2,33","62,41","15,37","18,21","1,80","2,22"
Iceland,"21,46","17,26","48,02","9,51","3,74","58,49","25,43","12,65","2,79","0,63"
Ireland,"32,61","11,07","50,74","5,58","0,00","74,78","10,85","13,29","0,87","0,20"
Italy,"73,70","6,69","18,47","1,11","0,03","80,93","7,98","9,15","1,85","0,08"
Latvia,"27,40","17,18","46,55","2,38","6,49","54,47","17,67","23,05","3,38","1,42"
Lithuania,"37,33","19,47","39,29","3,17","0,74","74,74","5,71","16,24","1,93","1,39"
Luxembourg,"55,51","8,05","32,91","2,00","1,53","80,59","7,17","9,42","1,72","1,10"
Netherlands,"57,67","3,78","33,68","1,74","3,13","73,73","15,22","9,48","1,52","0,05"
Norway,"19,47","4,64","65,33","2,57","8,00","57,59","23,87","13,52","4,26","0,77"
Poland,"62,81","20,06","15,89","0,81","0,43","69,63","21,00","8,25","0,50","0,61"
Portugal,"44,79","17,38","31,16","3,08","3,59","68,46","13,16","14,23","3,05","1,09"
Slovak Republic,"65,94","13,14","18,01","1,90","1,02","80,31","6,25","11,53","0,95","0,96"
Slovenia,"35,38","28,11","27,85","6,10","2,55","57,09","29,59","10,11","2,62","0,60"
Spain,"60,24","12,08","23,94","2,45","1,30","75,93","10,04","11,73","1,48","0,81"
Sweden,"44,98","12,26","27,91","10,49","4,35","56,43","26,79","10,39","5,95","0,44"
Switzerland,"65,26","8,20","25,44","1,11","0,00","81,62","7,91","9,09","1,15","0,23"
United Kingdom,"40,12","15,02","38,25","5,59","1,01","63,92","14,93","19,32","1,41","0,42"
OECD average,"45,92","14,26","33,78","3,92","2,11","68,40","16,25","12,48","2,18","0,70"
Bulgaria,"28,89","42,34","21,64","4,56","2,57","69,17","16,94","10,46","1,99","1,44"
Croatia,"76,68","5,77","13,86","2,49","1,20","90,31","2,72","6,05","0,63","0,29"
Cyprus,"62,38","7,58","27,71","1,95","0,37","86,88","2,60","8,18","1,88","0,47"
Malta,"60,02","2,82","32,79","2,01","2,36","80,40","1,51","15,12","2,66","0,32"
Romania,"64,65","20,38","9,21","2,92","2,84","82,99","2,61","7,90","1,70","4,80"
EU average,"50,05","14,86","29,52","3,67","1,90","71,15","14,13","11,83","2,04","0,84"